MS_FILE_DATE,MS_FILE_NAME,MS_FILE_START_TIME,PEAK_TIME,REACTION_START_TIME,PEAK_RECORD_TIME,MINS_ELAPSED,SOLUTION_ID,MZ84,MZ85,MZ112,MZ122,MZ132,MZ149,MZ150,MZ168,MZ283,NOTES,RH,SOLUTION_NAME,MINS_VIAL,MINS_TRAPPED,dc_spring,ac_spring_f1,ac_spring_a1,ac_spring_f2,ac_spring_a2,dc_spring_after,ac_spring_f1_after,ac_spring_a1_after,ac_spring_f2_after,ac_spring_a2_after,M_NH3_BUBBLER,naoh_vial
20180809,Data005,,0.5,,,4,bd05hg20as05,3474,1129.5,,,,,,,53077.5,,5,bd05hg20as05_001,,4,,,,,,,,,,,,
20180809,Data001,,1.84,,,914,bd10hg10as10,37.42857143,840.5,,,,,,,7790,,5,bd10hg10as10_002,9,905,41,69,4.85,61,4.04,32,79,4.89,71,4.22,,
20180809,Data001,,21.07,,,932,bd10hg10as10,935.5,1423.090909,,,,,,,4875.454545,,,bd10hg10as10_002,932,0,,,,,,,,,,,,
20180809,Data004,,41.8,,,0,bd10hg10as10,828.4,845,,,,,,,3240.1,,5,bd10hg10as10_002,,0,,,,,,,,,,,,
20180809,Data002,,10.5,,,36,bd10hg10as10,35.6,52.9,,,,,,,1363.1,,62,bd10hg10as10_003,32,4,,,,,,,,,,,,
20180810,Data002,,21.44,,,1075,bd07hg20as03,1359.2,1134.4,,,,,,,33828.1,,5,bd07hg20as03_002,1072,3,,,,,,,,,,,,
20180810,Data002,,28.3,,,1085,bd07hg20as03,1860.9,2292.2,,,,,,,51879.7,,5,bd07hg20as03_002,1082,3,,,,,,,,,,,,
20180810,Data003,,0.5,,,116,bd07hg20as03,19.4,1585.5,,,,,,,54619.2,,70,bd07hg20as03_003,7,109,,,,,,31,77,4.88,70,4.31,,
20180810,Data004,,9.29,,,184,bd07hg20as03,371.8,851.5,,,,,,,13112.5,,65,bd07hg20as03_003,181,3,,,,,,,,,,,,
20180813,Data001,,3,,,120,hg20as10,23.5,51.33333333,,,,,,,142396.7,,70,hg20as10_002,,120,,,,,,50,65,4.88,59,4.2,,
20180814,Data001,,9.81,,,994,bd07hg20as03,31.1,83.6,,,,,,,79244.6,,70,bd07hg20as03_006,6,988,31,79,4.72,70,3.96,33,77,4.92,70,4.32,,
20180814,Data001,,17.6,,,1004,bd07hg20as03,1678.1,1269.2,,,,,,,76406,,5,bd07hg20as03_006,1000,4,40,70,4.53,64,3.94,,,,,,,
20180814,Data002,,6.8,,,1094,bd07hg20as03,721.5,497,,,,,,,64014.9,,70,bd07hg20as03_006,1012,82,41,72,4.77,66,4.15,39.2,74,4.73,67,4.07,,
20180814,Data003,,4.2,,,56,bd07hg20as03,63.7,718.9,,,,,,,41667.7,,70,bd07hg20as03_007,4,52,45,59,4.57,54,4.08,43,65,4.93,58,4.23,,
20180814,Data003,,16.4,,,68,bd07hg20as03,170.3636364,927.5454545,,,,,,,60819.45455,,5,bd07hg20as03_007,61,7,42,50,4.71,44,4.17,,,,,,,
20180814,Data005,,17.55,,,376,bd07hg20as03,856.2,1227.1,,,,,,,48905.1,,5,bd07hg20as03_007,373,3,42,55,4.81,48,4.17,,,,,,,
20180814,Data004,,0.8,,,141,bd07hg20as03,,330.1,,,,,,,46428,,70,bd07hg20as03_008,12,129,30,77,4.58,71,4.03,32,77,4.48,72,4.04,,
20180814,Data004,,9,,,149,bd07hg20as03,571,1460.4,,,,,,,125445.4,,5,bd07hg20as03_008,145,4,57,59,4.85,52,4.02,,,,,,,
20180814,Data005,,0.53,,,124,bd07hg20as03,18,398,,,,,,,50973.7,,70,bd07hg20as03_009,2,122,48,62,4.72,55,3.97,42,66,4.84,60,4.2,,
20180814,Data005,,7.67,,,133,bd07hg20as03,388.4,853.3,,,,,,,83696.7,,5,bd07hg20as03_009,128,5,42,55,4.81,48,4.17,,,,,,,
20180815,Data002,,1,,,1333,bd07hg20as03,171.3333333,61.1,,,,,,,17779.6,,70,bd07hg20as03_007,383,950,44,70,4.85,64,4.13,54,60,4.95,55,4.36,,
20180815,Data002,,18.89,,,1350,bd07hg20as03,846.1,1072.1,,,,,,,21895.2,,45,bd07hg20as03_007,1347,3,,,,,,,,,,,,
20180815,Data003,,2.5,,,6,bd07hg20as03,51.7,1601.1,,,,,,,43709,,5,bd07hg20as03_010,2,4,35,76,4.72,70,4.14,,,,,,,
20180815,Data004,,0.65,,,61,bd07hg20as03,36,640.9,,,,,,,20700.5,,70,bd07hg20as03_011,6,55,32,80,4.88,73,4.24,31,80,4.55,74,4.06,,
20180815,Data004,,6.1,,,67,bd07hg20as03,128.6363636,1261.090909,,,,,,,30124.27273,,5,bd07hg20as03_011,64,3,,,,,,,,,,,,
20180815,Data005,,0.55,,,167,bd10hg10as10,30,366.9,,,,,,,22460.4,,70,bd10hg10as10_004,3,164,34,81,4.87,70,3.86,27,87,4.85,79,4.19,,
