date,file,chrom,dc_trap,mfc,src1,src2,signal,vialstart,trapstart,eject,vial,MINS_ELAPSED,rh,SOLUTION_ID,wt_frac,nh3_bubbler,MZ84,MZ85,MZ283,note,dc_spring,ac_spring_f1,ac_spring_a1,ac_spring_f2,ac_spring_a2,dc_spring_after,ac_spring_f1_after,ac_spring_a1_after,ac_spring_f2_after,ac_spring_a2_after,data_path,code,comptype,compnum,p84_j,p85_j,p283_j,n84_j,n84,n85_j,n85,bad_data,nh3_vial,naoh_vial
180815,6,0.52,680,303,,,1,,,,,68,70,bd10hg20_001,0.3,,41.5,3439,58899.9,,39,70,4.84,62,4.07,32,73,4.79,65,4.08,C:/MassCenter DataORG/DropletMSProject.7pj/180815.7fl\Data006.7rw,180815_006_0.5,bd10hg20,1,,3470.9,58881.1,,0.000704585,0.058947608,0.058387196,,,
180815,6,8.66,600,244,,,1,,,,,4,5,bd10hg20_001,0.3,,38.8,1288.4,21257.8,,,,,,,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180815.7fl\Data006.7rw,180815_006_8.7,bd10hg20,1,,1370.8,21289.4,,0.001825212,0.064388851,0.060608341,,,
180816,1,0.85,470,250,,,1,,,,,62,70,bd10hg20_001,0.3,,42.9,1770.5,55038.7,,47,66,4.8,61,4.22,43,71,4.89,63,4.08,C:/MassCenter DataORG/DropletMSProject.7pj/180816.7fl\Data001.7rw,180816_001_0.8,bd10hg20,1,,1738.1,55019.3,,0.000779452,0.031590733,0.032168274,,,
180816,2,1,570,275,,,1,,,,,40,70,bd10hg20_001,0.3,,8.888888889,2221.9,98647.4,,53,63,4.69,59,4.22,44,73,4.91,64,4,C:/MassCenter DataORG/DropletMSProject.7pj/180816.7fl\Data002.7rw,180816_002_1.0,bd10hg20,1,,2199.8,98592,,9.01E-05,0.022312155,0.022523655,,,
180816,3,1,560,245,,,1,,,,,237,70,bd10hg20_001,0.3,,42.4,458.6,20891.7,,50,59,4.84,52,4.14,41,63,4.8,55,4.06,C:/MassCenter DataORG/DropletMSProject.7pj/180816.7fl\Data003.7rw,180816_003_1.0,bd10hg20,1,,477.2,20871.9,,0.002029514,0.022863276,0.021951301,,,
180818,1,0.5,550,235,,,1,,,,,901,70,bd10hg20_001,0.3,,30.1,616.3,52063.8,,45,60,4.87,53,4.19,37.2,63,4.84,57,4.3,C:/MassCenter DataORG/DropletMSProject.7pj/180818.7fl\Data001.7rw,180818_001_0.5,bd10hg20,1,,610,52009.1,,0.000578137,0.011728717,0.0118374,,,
180820,1,1.34,,,,,1,,,,,48,70,bd10hg20_001,0.3,,43,837.9,26786.4,,,,,,,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180820.7fl\Data001.7rw,180820_001_1.3,bd10hg20,1,,891.3,26741.6,,0.001605292,0.033330092,0.031280799,,,
180820,1,13.3,,,,,1,,,,,3,5,bd10hg20_001,0.3,,25.3,1871.363636,27459.63636,,,,,,,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180820.7fl\Data001.7rw,180820_001_13.3,bd10hg20,1,,1879.4,27485.8,,0.000921352,0.068377126,0.068149615,,,
180820,2,0.53,,,,,1,,,,,123,70,bd10hg20_001,0.3,,27,1681.6,52806.4,,,,,,,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180820.7fl\Data002.7rw,180820_002_0.5,bd10hg20,1,,1713.2,52849.4,,0.000511302,0.032416641,0.031844625,,,
180823,1,0.7,500,250,,,1,,8/23/18 9:58,8/23/18 10:03,,4.999999964,5,bd10hg20_002,0.3,,45.8,454.7,25364.7,,,,,,,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180823.7fl\Data001.7rw,180823_001_0.7,bd10hg20,2,,546.5,25414.8,,0.001805659,0.021503219,0.017926488,,,
