SECONDS,COUNTS_MZ150,COUNTS_MZ149,COUNTS_MZ168,COUNTS_MZ85,COUNTS_MZ84,COUNTS_MZ283
0.015417,79,213,36,170,140,74
0.020708,62,206,39,135,115,73
0.026042,62,189,44,149,91,66
0.031375,68,222,51,164,138,94
0.036708,64,234,45,158,160,84
0.042042,66,230,45,158,165,97
0.047375,55,220,48,145,151,94
0.052708,68,245,46,150,110,84
0.058042,65,245,44,171,145,86
0.063333,70,243,51,167,167,108
0.068667,77,235,49,161,136,97
0.074,68,212,58,171,130,90
0.079333,66,185,57,155,107,65
0.084667,67,251,64,170,117,82
0.09,71,233,48,170,148,103
0.095333,72,215,56,174,155,102
0.100667,76,189,53,163,124,87
0.105958,61,246,69,166,108,81
0.111292,64,235,57,149,126,64
0.116625,75,178,60,156,107,60
0.121958,71,191,52,149,91,70
0.127292,66,188,55,151,91,62
0.132625,59,220,48,150,120,66
0.137958,73,180,65,129,105,39
0.14325,63,195,52,154,83,54
0.148583,69,228,58,161,103,64
0.153917,71,179,58,136,102,63
0.15925,62,199,60,131,78,55
0.164583,65,227,59,186,132,73
0.169917,69,232,54,166,179,125
0.17525,72,230,49,176,157,115
0.180542,63,203,44,176,139,97
0.185875,57,252,62,166,143,103
0.191208,64,219,56,140,115,94
0.196542,76,185,53,164,98,82
0.201875,62,199,50,167,115,76
0.207208,77,195,48,174,141,85
0.212542,74,228,55,174,171,105
0.217875,72,241,62,181,146,86
0.223167,79,221,57,175,159,105
0.2285,69,233,49,155,125,89
0.233833,71,245,53,164,131,99
0.239167,72,235,54,156,154,99
0.2445,66,220,51,158,130,79
0.249833,66,236,61,176,156,75
0.255167,55,234,50,142,119,61
0.2605,78,260,70,166,152,110
0.265792,67,233,56,170,168,123
0.271125,76,250,51,178,176,123
0.276458,80,243,47,163,137,79
0.281792,71,213,64,172,155,90
0.287125,62,248,63,174,168,114
0.292458,71,229,63,163,173,104
0.297792,62,187,53,169,121,68
0.303083,66,183,53,145,114,60
0.308417,82,200,54,146,97,70
0.31375,62,229,55,152,156,102
0.319083,62,224,61,156,127,78
0.324417,66,229,53,147,90,61
0.32975,84,238,55,169,114,84
0.335083,84,250,43,156,114,70
