SECONDS,MZ150,MZ168,MZ84,MZ85,MZ149
0.02,61,50,67,383,199
0.025333,59,49,84,418,194
0.030625,63,42,74,403,182
0.035958,67,47,80,394,206
0.041292,72,46,73,429,210
0.046625,86,47,69,400,219
0.051958,72,46,74,379,214
0.057292,67,42,78,394,196
0.062625,51,52,75,390,211
0.067958,74,54,73,392,202
0.07325,66,40,84,419,199
0.078583,69,43,81,370,248
0.083917,55,40,73,404,223
0.08925,79,66,75,388,234
0.094583,69,38,77,408,226
0.099917,77,48,71,410,218
0.10525,74,53,71,410,191
0.110583,65,49,72,399,215
0.115875,63,46,79,370,231
0.121208,60,53,72,393,217
0.126542,63,35,63,405,199
0.131875,65,39,74,406,219
0.137208,67,45,73,399,203
0.142542,59,51,87,425,204
0.147875,67,38,71,383,197
0.153167,64,51,75,391,222
0.1585,76,53,80,412,249
0.163833,68,49,76,418,244
0.169167,61,60,84,403,208
0.1745,65,56,77,394,192
0.179833,65,41,74,405,211
0.185167,64,41,74,412,210
0.1905,71,46,78,373,228
0.195792,70,39,76,396,176
0.201125,65,37,69,411,219
0.206458,60,48,80,371,175
0.211792,65,45,81,395,210
0.217125,71,49,72,405,193
0.222458,59,49,77,373,196
0.227792,65,39,78,403,202
0.233125,64,54,71,406,219
0.238417,73,41,75,407,220
0.24375,72,46,78,405,209
0.249083,75,48,76,390,190
0.254417,64,46,84,412,213
0.25975,70,52,74,392,190
0.265083,65,46,81,394,205
0.270417,68,44,80,423,215
0.275708,58,51,79,396,203
0.281042,66,54,83,407,202
0.286375,59,52,80,450,190
0.291708,68,60,79,403,192
0.297042,58,57,65,396,211
0.302375,65,61,73,388,200
0.307708,61,48,90,417,190
0.313042,66,52,72,383,206
0.318333,78,49,75,421,228
0.323667,81,54,77,384,216
0.329,62,43,77,389,213
0.334333,68,48,85,412,218
0.339667,72,49,74,404,226
0.345,69,55,74,391,226
0.350333,69,52,75,426,208
0.355625,65,46,79,380,212
0.360958,71,40,67,369,214
0.366292,73,57,76,405,228
0.371625,60,49,78,431,218
0.376958,67,45,77,413,247
0.382292,71,63,73,408,224
0.387625,70,45,68,398,207
0.392958,60,42,74,387,189
0.39825,80,48,85,385,216
0.403583,64,45,71,391,199
0.408917,82,63,95,424,233
0.41425,56,48,85,396,221
0.419583,61,46,86,432,204
0.424917,68,42,76,361,209
0.43025,59,46,66,380,216
