date,file,chrom,dc_trap,mfc,src1,src2,signal,vialstart,trapstart,eject,vial,trapped,MINS_ELAPSED,rh,SOLUTION_ID,wt_frac,nh3_bubbler,MZ84,MZ85,MZ112,MZ122,MZ149,MZ150,MZ168,MZ283,note,dc_spring,ac_spring_f1,ac_spring_a1,ac_spring_f2,ac_spring_a2,dc_spring_after,ac_spring_f1_after,ac_spring_a1_after,ac_spring_f2_after,ac_spring_a2_after,data_path,code,comptype,compnum,p84_j,p85_j,p283_j,n84_j,n84,n85_j,n85,bad_data,nh3_vial,naoh_vial
180810,2,21.44,480.0,217.0,close,close,1,,,,1072.0,3.0,1075.0,5.0,bd07hg20as03_002,0.3,,1359.2,1134.4,,,,,,33828.1,,,,,,,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180810.7fl\Data002.7rw,180810_002_21.4,bd07hg20as03,2,1342.99,1185.33,33795.84,0.039738323,0.040179614,0.035073252,0.033534251,,,
180810,2,28.3,440.0,231.0,close,close,1,,,,1082.0,3.0,1085.0,5.0,bd07hg20as03_002,0.3,,1860.9,2292.2,,,,,,51879.7,,,,,,,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180810.7fl\Data002.7rw,180810_002_28.3,bd07hg20as03,2,1801.77,2307.95,51928.58,0.034697078,0.035869521,0.044444697000000005,0.044182985,,,
180814,1,17.6,570.0,290.0,close,close,1,,,,1000.0,4.0,1004.0,5.0,bd07hg20as03_006,0.3,,1678.1,1269.2,,,,,,76406.0,,40.0,70.0,4.53,64.0,3.94,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180814.7fl\Data001.7rw,180814_001_17.6,bd07hg20as03,6,1677.0,1282.6,76338.9,0.02196783,0.021962935,0.016801395,0.016611261000000002,,,
180814,3,16.4,560.0,221.0,close,1/4 valve partial,1,,,,61.0,7.0,68.0,5.0,bd07hg20as03_007,0.3,,170.36363640000002,927.5454545,,,,,,60819.45455,,42.0,50.0,4.71,44.0,4.17,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180814.7fl\Data003.7rw,180814_003_16.4,bd07hg20as03,7,185.9,982.0,60805.5,0.0030572890000000004,0.002801137,0.016149855,0.015250801999999999,,,
180814,4,9.0,460.0,229.0,close,1/4 valve partial,1,,,,145.0,4.0,149.0,5.0,bd07hg20as03_008,0.3,,571.0,1460.4,,,,,,125445.4,,57.0,59.0,4.85,52.0,4.02,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180814.7fl\Data004.7rw,180814_004_9.0,bd07hg20as03,8,560.3,1484.2,125293.6,0.0044718959999999995,0.0045517809999999995,0.011845777,0.011641718,,,
180814,5,7.67,560.0,225.0,,,1,,,,128.0,5.0,133.0,5.0,bd07hg20as03_009,0.3,,388.4,853.3,,,,,,83696.7,,42.0,55.0,4.81,48.0,4.17,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180814.7fl\Data005.7rw,180814_005_7.7,bd07hg20as03,9,397.2,874.6,83675.5,0.0047469090000000005,0.004640565,0.010452283,0.010195145,,,
180814,5,17.55,590.0,300.0,close,,1,,,,373.0,3.0,376.0,5.0,bd07hg20as03_007,0.3,,856.2,1227.1,,,,,,48905.1,,42.0,55.0,4.81,48.0,4.17,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180814.7fl\Data005.7rw,180814_005_17.6,bd07hg20as03,7,867.2,1261.1,48800.2,0.017770419,0.017507376,0.025842107000000003,0.025091453,,,
180815,3,2.5,670.0,315.0,close,close,1,,,,2.0,4.0,6.0,5.0,bd07hg20as03_010,0.3,,51.7,1601.1,,,,,,43709.0,,35.0,76.0,4.72,70.0,4.14,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180815.7fl\Data003.7rw,180815_003_2.5,bd07hg20as03,10,,1616.0,43816.7,,0.001182823,0.036880915,0.0366309,,,
180815,4,6.1,580.0,279.0,close,close,1,,,,64.0,3.0,67.0,5.0,bd07hg20as03_011,0.3,,128.63636359999998,1261.090909,,,,,,30124.27273,,,,,,,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180815.7fl\Data004.7rw,180815_004_6.1,bd07hg20as03,11,145.7,1320.0,30131.0,0.0048355509999999996,0.00427019,0.043808702000000005,0.04186295,,,
180921,2,0.4,560.0,310.0,,,1,9/20/18 16:30,9/21/18 12:08,9/21/18 12:15,1178.0,6.999999991,1185.0,73.0,bd07hg20as03_019,0.3,,1005.677419,1811.129032,,,0.0,141.0,0.0,35837.96774,,55.0,68.0,4.98,62.0,4.21,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180921.7fl\Data002.7rw,180921_002_0.4,bd07hg20as03,19,1022.1,1834.4,35792.1,0.028556581,0.028061787,0.051251532999999995,0.0505366,,,
