date,file,chrom,dc_trap,mfc,src1,src2,signal,vialstart,trapstart,eject,vial,trapped,MINS_ELAPSED,rh,SOLUTION_ID,wt_frac,nh3_bubbler,MZ84,MZ85,MZ112,MZ122,MZ149,MZ150,MZ168,MZ283,note,dc_spring,ac_spring_f1,ac_spring_a1,ac_spring_f2,ac_spring_a2,dc_spring_after,ac_spring_f1_after,ac_spring_a1_after,ac_spring_f2_after,ac_spring_a2_after,data_path,code,comptype,compnum,p84_j,p85_j,p283_j,n84_j,n84,n85_j,n85,bad_data,nh3_vial,naoh_vial
180918,4,0.45,510.0,259.0,,,1,9/17/18 16:48,9/18/18 7:34,9/18/18 9:32,886.0,117.9999999,1004.0,70.0,bd07hg20as03_018,0.3,,322.516129,164.7741935,,,,,,19616.41935,,56.0,62.0,5.0,54.0,3.98,50.0,64.0,4.97,57.0,4.07,C:/MassCenter DataORG/DropletMSProject.7pj/180918.7fl\Data004.7rw,180918_004_0.5,bd07hg20as03,18,331.0,184.84,19629.1,0.016862718999999998,0.016441131,0.009416631,0.00839981,,,
180918,8,0.53,500.0,300.0,,,1,9/17/18 16:48,9/18/18 9:55,9/18/18 11:03,1027.0,67.99999996,1095.0,70.0,bd07hg20as03_018,0.3,,162.7419355,66.32258065,,,,,,5606.83871,,31.0,82.0,4.92,73.0,4.05,28.0,88.0,4.97,77.0,4.04,C:/MassCenter DataORG/DropletMSProject.7pj/180918.7fl\Data008.7rw,180918_008_0.5,bd07hg20as03,18,167.09,82.0,5608.8,0.029790686,0.029025613999999998,0.014619883,0.011828873,,,
180918,9,0.45,630.0,320.0,,,1,9/17/18 16:48,9/18/18 11:10,9/18/18 11:31,1102.0,20.99999994,1123.0,70.0,bd07hg20as03_018,0.3,,251.516129,115.64516129999998,,,,,,8001.0645159999995,,36.0,79.0,4.99,70.0,4.09,35.0,81.0,4.96,71.0,4.04,C:/MassCenter DataORG/DropletMSProject.7pj/180918.7fl\Data009.7rw,180918_009_0.5,bd07hg20as03,18,260.63,131.23,8011.9,0.032530361,0.031435332999999996,0.016379386,0.014453721999999999,,,
180918,10,0.45,580.0,315.0,,,1,9/17/18 16:48,9/18/18 11:35,9/18/18 11:56,1127.0,20.99999995,1148.0,70.0,bd07hg20as03_018,0.3,,257.516129,121.2903226,,,,,,7695.419355,,33.0,81.0,4.95,72.0,4.05,30.0,85.0,4.97,74.0,4.02,C:/MassCenter DataORG/DropletMSProject.7pj/180918.7fl\Data010.7rw,180918_010_0.5,bd07hg20as03,18,265.22,128.8,7697.9,0.034453552,0.03346356,0.016731836,0.015761366000000002,,,
180918,11,0.35,530.0,305.0,,,1,9/17/18 16:48,9/18/18 11:59,9/18/18 13:58,1151.0,118.9999999,1270.0,70.0,bd07hg20as03_018,0.3,,225.54838709999999,92.35483871,,,,,,10106.74194,,38.0,80.0,4.98,71.0,4.07,34.0,82.0,4.95,73.0,4.04,C:/MassCenter DataORG/DropletMSProject.7pj/180918.7fl\Data011.7rw,180918_011_0.3,bd07hg20as03,18,237.68,116.94,10127.94,0.023467754,0.022316627000000002,0.011546276999999999,0.009137944,,,
180918,13,0.4,550.0,290.0,,,1,9/17/18 16:48,9/18/18 14:20,9/18/18 14:41,1292.0,21.0000001,1313.0,70.0,bd07hg20as03_018,0.3,,319.5483871,133.0645161,,,,,,8976.354839,,39.0,73.0,4.93,65.0,4.08,38.0,75.0,4.9,67.0,4.11,C:/MassCenter DataORG/DropletMSProject.7pj/180918.7fl\Data013.7rw,180918_013_0.4,bd07hg20as03,18,326.1,155.37,8993.66,0.036258876,0.035598903,0.017275503,0.014823892,,,
180921,1,8.1,620.0,320.0,,,1,9/20/18 16:30,9/21/18 8:33,9/21/18 8:39,963.0,6.000000009,969.0,72.0,bd07hg20as03_019,0.3,,202.9354839,388.3548387,,,0.0,48.0,0.0,10587.74194,,,,,,,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180921.7fl\Data001.7rw,180921_001_8.1,bd07hg20as03,19,212.77,422.13,10590.9,0.020089889,0.019167022,0.039857803,0.036679666,,,
180921,2,0.4,560.0,310.0,,,1,9/20/18 16:30,9/21/18 12:08,9/21/18 12:15,1178.0,6.999999991,1185.0,73.0,bd07hg20as03_019,0.3,,1005.677419,1811.129032,,,0.0,141.0,0.0,35837.96774,,55.0,68.0,4.98,62.0,4.21,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180921.7fl\Data002.7rw,180921_002_0.4,bd07hg20as03,19,1022.1,1834.4,35792.1,0.028556581,0.028061787,0.051251532999999995,0.0505366,,,
180921,3,0.3,670.0,325.0,,,1,9/20/18 16:30,9/21/18 12:22,9/21/18 15:43,1192.0,201.0,1393.0,74.0,bd07hg20as03_019,0.3,,795.6774194,527.1935484,,,,,,37146.70968,,41.0,72.0,4.88,65.0,4.15,40.0,73.0,4.9,65.0,4.07,C:/MassCenter DataORG/DropletMSProject.7pj/180921.7fl\Data003.7rw,180921_003_0.3,bd07hg20as03,19,803.1,551.8,37149.4,0.021618115,0.021419862999999997,0.014853537,0.0141922,,,
180921,4,0.35,680.0,330.0,,,1,9/20/18 16:30,9/21/18 15:48,9/21/18 15:53,1398.0,5.0000000060000005,1403.0,75.0,bd07hg20as03_019,0.3,,1001.2903230000001,992.1935483999999,0.0,63.0,0.0,141.0,47.0,45051.58065,,,,,,,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180921.7fl\Data004.7rw,180921_004_0.3,bd07hg20as03,19,1008.2,1025.2,45065.1,0.02237208,0.022225421000000002,0.022749312,0.022023501,,,
