MINS_ELAPSED,M_BUTENEDIAL,M_BUTENEDIAL_MIN,M_BUTENEDIAL_MAX,M_C4H5NO,M_C4H5NO_MIN,M_C4H5NO_MAX,M_DIMER,M_DIMER_MIN,M_DIMER_MAX,pH,M_AMMONIA
0,1.6,1.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.00021749999999999997
1,1.5780828316990334,1.5680359227831475,1.5877961019856357,0.0059509877654615176,0.0036819893557204037,0.009342503642788566,0.0026640327972815288,0.0010287924680447015,0.00479382783417908,6.9,0.00021749999999999997
2,1.551549533891761,1.5298490588137332,1.5726490921845893,0.008581610266638404,0.004803520606322955,0.015671586082628537,0.008433959076624234,0.003664886597851087,0.013877526731365029,6.9,0.00021749999999999997
3,1.5216080461101118,1.4880980101146484,1.5549134686416906,0.00972798537948452,0.0051082214867979045,0.020132871613412543,0.01543528824527057,0.007383822116572247,0.02392041777681785,6.9,0.00021749999999999997
4,1.4889428570346803,1.4434078926257483,1.5348541796825204,0.010224478163552628,0.005190708077251835,0.023194766843241833,0.022869408182403253,0.011811945067537235,0.033952398278166686,6.9,0.00021749999999999997
5,1.4539969283243548,1.3953636414854016,1.5126904396618182,0.010437783100103624,0.005207454311448381,0.02526242613355345,0.03030955514628395,0.016681207962302182,0.043665792948344814,6.9,0.00021749999999999997
6,1.4169636595838973,1.3453571387902306,1.4886192057390255,0.010505441168262443,0.005204343621257567,0.0266232441060958,0.037642959082720535,0.021798126047986862,0.05294780768771564,6.9,0.00021749999999999997
7,1.3783743995819646,1.2939285640762022,1.4628273320219192,0.010504935388837448,0.0051950613741386905,0.02759548056361518,0.044741952105132266,0.02702250712971967,0.06174576408857516,6.9,0.00021749999999999997
8,1.338425384808528,1.241584028828313,1.4354973502256705,0.010478471583362077,0.005183763545438476,0.02823968708932995,0.051457479972341694,0.03225227231652264,0.07002986437485309,6.9,0.00021749999999999997
9,1.2974261592972458,1.1887937869453746,1.4068096794417455,0.010435723842246138,0.005171733175338603,0.028619929973331064,0.057863831974743186,0.03741300677526404,0.07778226084369481,6.9,0.00021749999999999997
10,1.2558994528730352,1.1359875547987752,1.3769428900496896,0.010387336748895987,0.005159374949440117,0.028808817078751613,0.0639682898006698,0.04225714039541701,0.08499351230117161,6.9,0.00021749999999999997
11,1.2139205432252438,1.0835504869817678,1.3460729487147898,0.010338323642446577,0.00514681627695199,0.028859050852946874,0.06968015745858844,0.04683911680140115,0.09166109576053744,6.9,0.00021749999999999997
12,1.1716009867100856,1.0318207753948043,1.314371990049139,0.010286332459670151,0.0051340950493699074,0.028808902481263936,0.07492517465481187,0.05115576762122883,0.0977884638907649,6.9,0.00021749999999999997
13,1.1291180194572694,0.9810889142177214,1.282006941937901,0.010230266757967756,0.005121223569612588,0.02868619554276755,0.07985723826510778,0.055252697819863736,0.1033842390393344,6.9,0.00021749999999999997
14,1.0871560230343835,0.931598459963012,1.2491381807462931,0.010176798057886162,0.005108204669461243,0.028511178913298487,0.08441586334780257,0.059123397710147275,0.1084614595510274,6.9,0.00021749999999999997
15,1.0455282723284016,0.8835480046389144,1.2159183262013735,0.010122405882622596,0.005095035086307925,0.028298612253986555,0.08858325448575441,0.06276482391497032,0.11312158333814755,6.9,0.00021749999999999997
16,1.0045930478216336,0.8370940953222354,1.1824912313437932,0.010061843577428332,0.005081715806413486,0.02805927371810514,0.09236766847797263,0.06617659834393255,0.1175611782629752,6.9,0.00021749999999999997
17,0.9643055383486034,0.7923547082180044,1.1489911954014491,0.010003863632916565,0.0050682441586551675,0.027801051431656332,0.0958035328357198,0.06930200855469314,0.12153984473538798,6.9,0.00021749999999999997
18,0.9250011498271602,0.7494132148699221,1.115840705048217,0.009943908494728357,0.005054615382263023,0.027529731238959014,0.09892818639391326,0.0721226358820709,0.12507870124577852,6.9,0.00021749999999999997
