date,file,chrom,dc_trap,mfc,src1,src2,signal,vialstart,trapstart,eject,vial,MINS_ELAPSED,rh,SOLUTION_ID,wt_frac,nh3_bubbler,MZ84,MZ85,MZ283,note,dc_spring,ac_spring_f1,ac_spring_a1,ac_spring_f2,ac_spring_a2,dc_spring_after,ac_spring_f1_after,ac_spring_a1_after,ac_spring_f2_after,ac_spring_a2_after,data_path,code,comptype,compnum,p84_j,p85_j,p283_j,n84_j,n84,n85_j,n85,bad_data,nh3_vial,naoh_vial
181004,1,0.55,590.0,320.0,,,1,,10/4/18 9:27,10/4/18 9:32,,4.999999995,70,bd10hg10ss10_001,0.3,,17.51612903,1903.806452,20063.87097,,36.0,76.0,4.96,69.0,4.21,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/181004.7fl\Data001.7rw,181004_001_0.6,bd10hg10ss10,1,,1940.9,20076.1,,0.000873018,0.096677144,0.094887295,,,
181004,2,0.6,616.0,330.0,,,1,,10/4/18 9:36,10/4/18 11:35,,119.0,70,bd10hg10ss10_001,0.3,,18.79166667,982.6129032,24355.77419,,41.0,73.0,4.95,66.0,4.16,35.0,82.0,4.95,74.0,4.21,C:/MassCenter DataORG/DropletMSProject.7pj/181004.7fl\Data002.7rw,181004_002_0.6,bd10hg10ss10,1,,993.97,24333.5,,0.000771549,0.040847802,0.040344146000000004,,,
181004,3,0.25,565.0,325.0,,,1,,10/4/18 11:45,10/4/18 13:50,,125.0,70,bd10hg10ss10_001,0.3,,14.41935484,1535.214286,38228.89286,,46.0,72.0,4.97,65.0,4.21,34.0,80.0,4.89,73.0,4.25,C:/MassCenter DataORG/DropletMSProject.7pj/181004.7fl\Data003.7rw,181004_003_0.2,bd10hg10ss10,1,,1548.9,38200.9,,0.000377185,0.040546165,0.040158482,,,
181004,4,0.25,635.0,340.0,,,1,,10/4/18 13:57,10/4/18 14:44,,47.0,70,bd10hg10ss10_001,0.3,,19.67741935,1118.434783,22230.875,,44.0,66.0,4.94,60.0,4.27,38.0,72.0,4.98,65.0,4.26,C:/MassCenter DataORG/DropletMSProject.7pj/181004.7fl\Data004.7rw,181004_004_0.2,bd10hg10ss10,1,,1138.0,22239.7,,0.000885139,0.051169755,0.050309976,,,
181004,6,0.25,560.0,290.0,,,1,,10/4/18 15:54,10/4/18 18:12,,138.0,70,bd10hg10ss10_001,0.3,,20.19354839,2655.222222,93867.51852,,54.0,60.0,4.95,55.0,4.33,44.0,67.0,4.96,60.0,4.19,C:/MassCenter DataORG/DropletMSProject.7pj/181004.7fl\Data006.7rw,181004_006_0.2,bd10hg10ss10,1,,2662.1,93858.6,,0.000215128,0.028362877999999998,0.028286912,,,
181005,2,0.35,625.0,290.0,,,1,,10/5/18 8:45,10/5/18 8:50,,4.999999995,70,bd10hg10ss10_001,0.3,,22.70967742,3275.0967739999996,55876.12903,,50.0,63.0,5.0,57.0,4.3,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/181005.7fl\Data002.7rw,181005_002_0.3,bd10hg10ss10,1,,3295.5,55849.2,,0.00040642900000000004,0.059007112,0.058613523,,,
181005,2,11.4,520.0,270.0,,,1,,10/5/18 8:56,10/5/18 9:01,,5.0000000060000005,70,bd10hg10ss10_001,0.3,,26.91666667,2592.416667,26093.473680000003,,55.0,60.0,4.91,54.0,4.18,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/181005.7fl\Data002.7rw,181005_002_11.4,bd10hg10ss10,1,,2624.7,26089.8,,0.001031548,0.10060253400000001,0.099351152,,,
181005,2,30.0,400.0,220.0,,,1,,10/5/18 9:16,10/5/18 9:20,,4.000000003,70,bd10hg10ss10_001,0.3,,25.22580645,4242.612903,53514.90323,,48.0,65.0,4.89,58.0,4.11,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/181005.7fl\Data002.7rw,181005_002_30.0,bd10hg10ss10,1,,4271.1,53476.5,,0.000471379,0.079868727,0.079279091,,,
181005,3,0.3,550.0,285.0,,,1,,10/5/18 9:25,10/5/18 9:41,,16.0,70,bd10hg10ss10_001,0.3,,22.93548387,2039.193548,27209.29032,,35.0,78.0,4.95,71.0,4.23,32.0,79.0,4.88,4.18,4.18,C:/MassCenter DataORG/DropletMSProject.7pj/181005.7fl\Data003.7rw,181005_003_0.3,bd10hg10ss10,1,,2042.5,27184.6,,0.0008429280000000001,0.07513445099999999,0.074944753,,,
181005,4,0.3,570.0,320.0,,,1,,10/5/18 9:44,10/5/18 10:01,,17.0,70,bd10hg10ss10_001,0.3,,16.74193548,3046.064516,59267.06452000001,,57.0,59.0,4.91,52.0,4.06,55.0,59.0,4.86,4.12,4.12,C:/MassCenter DataORG/DropletMSProject.7pj/181005.7fl\Data004.7rw,181005_004_0.3,bd10hg10ss10,1,,3051.4,59301.7,,0.000282483,0.051455522999999996,0.051395569,,,
181005,5,0.25,620.0,310.0,,,1,,10/5/18 10:33,10/5/18 11:43,,70.0,70,bd10hg10ss10_001,0.3,,23.09677419,1101.9629630000002,16816.25926,,37.0,69.0,4.93,62.0,3.89,26.0,81.0,4.92,73.0,4.29,C:/MassCenter DataORG/DropletMSProject.7pj/181005.7fl\Data005.7rw,181005_005_0.2,bd10hg10ss10,1,,1098.2,16819.3,,0.001373479,0.065294037,0.065529613,,,
