date,file,chrom,dc_trap,mfc,src1,src2,signal,vialstart,trapstart,eject,vial,MINS_ELAPSED,rh,SOLUTION_ID,wt_frac,nh3_bubbler,MZ84,MZ85,MZ283,note,dc_spring,ac_spring_f1,ac_spring_a1,ac_spring_f2,ac_spring_a2,dc_spring_after,ac_spring_f1_after,ac_spring_a1_after,ac_spring_f2_after,ac_spring_a2_after,data_path,code,comptype,compnum,p84_j,p85_j,p283_j,n84_j,n84,n85_j,n85,bad_data,nh3_vial,naoh_vial
180823,1,0.7,500.0,250.0,,,1,,8/23/18 9:58,8/23/18 10:03,,4.999999964,5,bd10hg20_002,0.3,,45.8,454.7,25364.7,,,,,,,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180823.7fl\Data001.7rw,180823_001_0.7,bd10hg20,2,,546.5,25414.8,,0.001805659,0.021503219,0.017926488,,,
180823,1,14.6,420.0,210.0,,,1,,8/23/18 10:12,8/23/18 10:16,,4.000000023999999,5,bd10hg20_002,0.3,,35.0,1871.4,40788.9,,,,,,,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180823.7fl\Data001.7rw,180823_001_14.6,bd10hg20,2,,1919.3,40758.0,,0.000858077,0.047090142,0.045880129000000006,,,
180823,1,21.0,416.0,197.0,,,1,,8/23/18 10:18,8/23/18 10:23,,4.999999974,5,bd10hg20_002,0.3,,47.3,2019.8,39160.5,,,,,,,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180823.7fl\Data001.7rw,180823_001_21.0,bd10hg20,2,,2028.5,39151.75,,0.00120785,0.051811222000000004,0.051577482,,,
180823,2,0.85,450.0,245.0,,,1,,8/23/18 10:35,8/23/18 11:12,,37.00000009,70,bd10hg20_002,0.3,,27.7,1167.2,38343.1,85 peak a little cut off,48.0,66.0,4.88,60.0,4.19,44.0,69.0,4.93,62.0,4.18,C:/MassCenter DataORG/DropletMSProject.7pj/180823.7fl\Data002.7rw,180823_002_0.8,bd10hg20,2,,1188.1,38318.0,,0.000722425,0.031006316000000003,0.03044094,,,
180823,6,0.5,540.0,275.0,,,1,,8/23/18 15:00,8/23/18 17:12,,132.0000001,70,bd10hg20_002,0.3,,33.4,681.5,23774.6,,43.0,69.0,4.96,62.0,4.19,29.0,77.0,4.97,68.0,4.18,C:/MassCenter DataORG/DropletMSProject.7pj/180823.7fl\Data006.7rw,180823_006_0.5,bd10hg20,2,,729.7,23848.2,,0.001404861,0.030597697000000004,0.028665046,,,
180828,1,0.7,620.0,300.0,,,1,,8/28/18 12:00,8/28/18 16:12,,252.0,70,bd10hg20_002,0.3,,18.25806452,68.38709677,9601.935484,hardly any 85,41.0,70.0,4.98,61.0,4.09,34.0,78.0,4.99,67.0,4.03,C:/MassCenter DataORG/DropletMSProject.7pj/180828.7fl\Data001.7rw,180828_001_0.7,bd10hg20,2,,81.69,9617.0,,0.001901498,0.008494333,0.00712222,,,
180829,5,0.8,600.0,290.0,,,1,,8/29/18 12:15,8/29/18 15:03,,167.9999999,70,bd10hg20_002,0.3,,15.96774194,84.96774194,10915.45161,,37.0,70.0,4.99,61.0,4.14,34.0,77.0,4.99,67.0,4.16,C:/MassCenter DataORG/DropletMSProject.7pj/180829.7fl\Data005.7rw,180829_005_0.8,bd10hg20,2,,96.57,10924.2,,0.0014628570000000001,0.008840006999999999,0.0077841709999999995,,,
180829,6,0.65,700.0,360.0,,,1,,8/29/18 15:07,8/29/18 18:00,,173.0,70,bd10hg20_002,0.3,,15.64516129,99.03225806,9962.935484,,31.0,84.0,5.0,74.0,4.1,23.0,93.0,4.99,81.0,4.07,C:/MassCenter DataORG/DropletMSProject.7pj/180829.7fl\Data006.7rw,180829_006_0.7,bd10hg20,2,,117.5,9974.0,,0.0015703370000000002,0.01178063,0.009940068,,,
180829,7,0.45,610.0,300.0,,,1,,8/29/18 18:04,8/29/18 18:30,,25.99999992,70,bd10hg20_002,0.3,,31.5,570.8,21976.3,,38.0,75.0,4.99,65.0,4.09,34.0,77.0,4.98,67.0,4.06,C:/MassCenter DataORG/DropletMSProject.7pj/180829.7fl\Data007.7rw,180829_007_0.5,bd10hg20,2,,615.7,21991.6,,0.001433362,0.027997052999999997,0.025973435,,,
180830,3,0.6,620.0,290.0,,,1,,8/30/18 9:51,8/30/18 10:33,,41.9999999,70,bd10hg20_002,0.3,,15.70967742,256.5806452,10329.70968,,37.0,69.0,4.77,64.0,4.28,33.0,75.0,4.91,70.0,4.45,C:/MassCenter DataORG/DropletMSProject.7pj/180830.7fl\Data003.7rw,180830_003_0.6,bd10hg20,2,,267.6,10344.6,,0.001520825,0.025868568999999998,0.024839096,,,
180830,4,0.45,610.0,280.0,,,1,,8/30/18 10:38,8/30/18 10:56,,18.0,70,bd10hg20_002,0.3,,12.29032258,505.483871,15104.03226,,45.0,66.0,4.93,62.0,4.49,50.0,66.0,4.97,61.0,4.36,C:/MassCenter DataORG/DropletMSProject.7pj/180830.7fl\Data004.7rw,180830_004_0.5,bd10hg20,2,,493.1,15132.3,,0.0008137110000000001,0.032585926,0.033466816,,,
180830,5,0.4,630.0,265.0,,,1,,8/30/18 10:59,8/30/18 11:42,,42.99999998,70,bd10hg20_002,0.3,,17.87096774,272.6451613,12856.3871,,48.0,62.0,4.98,58.0,4.54,45.0,65.0,4.99,61.0,4.55,C:/MassCenter DataORG/DropletMSProject.7pj/180830.7fl\Data005.7rw,180830_005_0.4,bd10hg20,2,,278.0,12875.6,,0.001390046,0.021591227,0.021206981,,,
180830,7,0.7,600.0,290.0,,,1,,8/30/18 13:57,8/30/18 14:29,,31.99999997,70,bd10hg20_002,0.3,,14.5,280.96774189999996,9881.967742,,40.0,73.0,5.0,63.0,4.07,39.0,76.0,4.99,66.0,4.08,C:/MassCenter DataORG/DropletMSProject.7pj/180830.7fl\Data007.7rw,180830_007_0.7,bd10hg20,2,,293.23,9894.4,,0.001467319,0.029635956,0.028432368,,,
180830,8,0.45,690.0,325.0,,,1,,8/30/18 14:34,8/30/18 16:19,,105.0,70,bd10hg20_002,0.3,,21.25806452,145.9677419,8563.096774,,35.0,78.0,4.95,66.0,4.0,22.0,86.0,4.91,78.0,4.34,C:/MassCenter DataORG/DropletMSProject.7pj/180830.7fl\Data008.7rw,180830_008_0.5,bd10hg20,2,,166.5,8583.8,,0.002482521,0.019397004,0.017046139,,,
180830,9,0.35,620.0,275.0,,,1,,8/30/18 16:31,8/30/18 18:29,,118.0000001,70,bd10hg20_002,0.3,,21.48387097,223.9354839,13718.03226,,48.0,62.0,4.89,57.0,4.35,38.0,70.0,4.99,64.0,4.45,C:/MassCenter DataORG/DropletMSProject.7pj/180830.7fl\Data009.7rw,180830_009_0.3,bd10hg20,2,,234.8,13726.0,,0.001566104,0.017106222,0.01632417,,,
180830,10,0.3,640.0,285.0,,,1,,8/30/18 18:34,8/30/18 20:22,,108.0,70,bd10hg20_002,0.3,,26.06451613,143.0645161,8609.774194,,40.0,65.0,4.87,60.0,4.36,34.0,72.0,4.98,67.0,4.53,C:/MassCenter DataORG/DropletMSProject.7pj/180830.7fl\Data010.7rw,180830_010_0.3,bd10hg20,2,,164.4,8631.8,,0.0030273170000000003,0.019045853999999997,0.016616524,,,
180831,2,0.3,640.0,275.0,,,1,,8/31/18 8:35,8/31/18 9:46,,70.99999993,70,bd10hg20_002,0.3,,16.11111111,155.67741940000002,9013.870968000001,,41.0,62.0,4.78,57.0,4.32,36.0,67.0,4.9,60.0,4.26,C:/MassCenter DataORG/DropletMSProject.7pj/180831.7fl\Data002.7rw,180831_002_0.3,bd10hg20,2,,181.3,9264.0,,0.001787369,0.01957038,0.017270873,,,
180831,3,0.25,650.0,285.0,,,1,,8/31/18 9:51,8/31/18 12:19,,147.9999999,70,bd10hg20_002,0.3,,19.5625,147.0322581,9891.677419,,47.0,63.0,4.96,59.0,4.46,36.0,70.0,4.89,64.0,4.36,C:/MassCenter DataORG/DropletMSProject.7pj/180831.7fl\Data003.7rw,180831_003_0.2,bd10hg20,2,,161.8,9922.7,,0.0019776729999999997,0.016306046,0.014864239,,,
180831,4,0.5,600.0,300.0,,,1,,8/31/18 12:27,8/31/18 13:47,,80.00000006,70,bd10hg20_002,0.3,,20.83870968,263.0322581,14858.64516,,38.0,72.0,4.93,65.0,4.23,35.0,76.0,4.78,70.0,4.24,C:/MassCenter DataORG/DropletMSProject.7pj/180831.7fl\Data004.7rw,180831_004_0.5,bd10hg20,2,,287.1,14873.8,,0.001402464,0.019302398000000002,0.017702304,,,
180831,5,0.6,480.0,217.0,,,1,,8/31/18 13:53,8/31/18 14:56,,63.0,70,bd10hg20_002,0.3,,19.35483871,103.2580645,8886.0,,50.0,60.0,4.9,55.0,4.36,44.0,63.0,4.93,53.0,3.98,C:/MassCenter DataORG/DropletMSProject.7pj/180831.7fl\Data005.7rw,180831_005_0.6,bd10hg20,2,,121.5,8896.0,,0.002178127,0.013657823999999999,0.011620308999999999,,,
180907,3,6.6,610.0,282.0,,,1,,9/7/18 13:48,9/7/18 13:52,,4.000000034,5,bd10hg20_002,0.3,,12.80645161,430.38709680000005,17233.06452,,,,,,,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180907.7fl\Data003.7rw,180907_003_6.6,bd10hg20,2,,456.3,17251.9,,0.000743133,0.026449261,0.024974496000000002,,,
180907,3,18.0,690.0,335.0,,,1,,9/7/18 13:59,9/7/18 14:03,,4.000000023999999,5,bd10hg20_002,0.3,,18.84210526,498.483871,14193.322580000002,,,,,,,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180907.7fl\Data003.7rw,180907_003_18.0,bd10hg20,2,,501.1,14192.6,,0.0013275329999999999,0.035307132000000005,0.035121013,,,
180907,3,25.5,620.0,245.0,,,1,,9/7/18 14:07,9/7/18 14:11,,4.000000034,5,bd10hg20_002,0.3,,23.51612903,289.0416667,9714.08,,,,,,,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180907.7fl\Data003.7rw,180907_003_25.5,bd10hg20,2,,305.0,9729.7,,0.0024208289999999998,0.031347318,0.029754918999999998,,,
180907,3,30.41,650.0,300.0,,,1,,9/7/18 14:13,9/7/18 14:16,,3.000000094,5,bd10hg20_002,0.3,,25.44,462.1612903,15218.935480000002,,,,,,,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180907.7fl\Data003.7rw,180907_003_30.4,bd10hg20,2,,485.6,15222.0,,0.0016716020000000001,0.031901196,0.030367518,,,
180907,3,36.34,670.0,285.0,,,1,,9/7/18 14:19,9/7/18 14:22,,2.999999947,5,bd10hg20_002,0.3,,20.67741935,393.61290319999995,14525.6129,,,,,,,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180907.7fl\Data003.7rw,180907_003_36.3,bd10hg20,2,,409.9,14523.4,,0.0014235139999999999,0.028223419,0.027097852000000002,,,
