MINS_ELAPSED,pH,pH_MIN,pH_MAX,M_BUTENEDIAL,M_BUTENEDIAL_MIN,M_BUTENEDIAL_MAX,M_C4H5NO,M_C4H5NO_MIN,M_C4H5NO_MAX,M_DIMER,M_DIMER_MIN,M_DIMER_MAX,M_NH
0,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.4375,0.4375,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453
1,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.4374876394284332,0.43748400585999936,0.4374912645137549,1.2341353223679726e-05,8.716861373437068e-06,1.5975070781539435e-05,7.429204804408076e-10,2.360489528498811e-10,1.4993867252375858e-09,0.45453309397388775
2,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.43747527776983103,0.4374680113061687,0.4374825283003485,2.4680709725633285e-05,1.7432411510873373e-05,3.194760255194333e-05,2.971551923026868e-09,9.441722266412162e-10,5.997175799132523e-09,0.45452073231528556
3,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.4374629144177318,0.43745201617416296,0.4374737912624025,3.701806972998012e-05,2.6146650550687163e-05,4.7917595581463205e-05,6.6855570891308415e-09,2.1243086646135696e-09,1.3492404365418997e-08,0.4545083689631863
4,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.4374505495660027,0.4374360202744598,0.4374650532875949,4.935343342602927e-05,3.4859578618845125e-05,6.388505008513942e-05,1.1884546792687564e-08,3.77638768429002e-09,2.3983961303807745e-08,0.45449600411145724
5,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.4374381829592732,0.4374200235066846,0.4374563143162841,6.168680050174262e-05,4.3571195581576366e-05,7.984996560091772e-05,1.8568313111841524e-08,5.9003715908694465e-09,3.7471252804825685e-08,0.45448363750472776
6,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.43742581540836656,0.4374040256810083,0.437447574235902,7.40181709726309e-05,5.228150148039128e-05,9.581234210097848e-05,2.6736465471646687e-08,8.496189555687663e-09,5.3953163701903985e-08,0.4544712699538211
7,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.4374134471214104,0.4373880266183757,0.4374388329403068,8.634628155479928e-05,6.0990496404845605e-05,0.00011177217970387072,3.6388635916803126e-08,1.1563774848565737e-08,7.342864346130276e-08,0.4544589016668649
8,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.4374010745193401,0.4373720261397313,0.4374300903233573,9.867177981144266e-05,6.969818044449513e-05,0.00012772947852814355,4.752445649201089e-08,1.510306073932468e-08,9.589664154928248e-08,0.45444652906479466
9,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.4373887004483456,0.4373560240660199,0.43742134627891227,0.0001109952538732897,7.840455368889563e-05,0.00014368423869234604,6.014355924197008e-08,1.9113980497785532e-08,1.2135610743210339e-07,0.45443415499380013
