MS_FILE_DATE,MS_FILE_NAME,MS_FILE_START_TIME,PEAK_TIME,REACTION_START_TIME,PEAK_RECORD_TIME,MINS_ELAPSED,SOLUTION_ID,MZ84,MZ85,MZ112,MZ122,MZ132,MZ149,MZ150,MZ168,MZ283,NOTES,RH,SOLUTION_NAME,MINS_VIAL,MINS_TRAPPED,dc_spring,ac_spring_f1,ac_spring_a1,ac_spring_f2,ac_spring_a2,dc_spring_after,ac_spring_f1_after,ac_spring_a1_after,ac_spring_f2_after,ac_spring_a2_after,M_NH3_BUBBLER,naoh_vial
20190114,Data001,9:22:57,8.9,9:23,9:31:51,8.85,bd_9.2_as_003,5037.5,645.0,0.0,94.5,47.0,95.5,347.0,41.5,9829.0,,,,,,,,,,,,,,,,,
20190114,Data001,9:22:57,9.3,9:23,9:32:15,9.25,bd_9.2_as_003,4261.5,407.5,0.0,34.0,0.0,76.0,245.5,38.5,7772.0,,,,,,,,,,,,,,,,,
20190114,Data001,9:22:57,9.8,9:23,9:32:45,9.75,bd_9.2_as_003,9352.3,733.0,0.0,171.5,200.0,133.5,538.5,118.0,17915.0,,,,,,,,,,,,,,,,,
20190114,Data001,9:22:57,11.1,9:23,9:34:03,11.05,bd_9.2_as_003,7318.5,486.5,0.0,86.5,59.0,147.5,372.5,63.0,10796.5,,,,,,,,,,,,,,,,,
20190114,Data001,9:22:57,16.8,9:23,9:39:45,16.75,bd_9.2_as_003,9469.5,900.0,0.0,194.5,96.8,180.0,846.5,121.5,22193.0,,,,,,,,,,,,,,,,,
20190114,Data001,9:22:57,18.5,9:23,9:41:27,18.45,bd_9.2_as_003,10777.0,1078.5,77.5,376.5,185.5,251.5,1235.5,292.5,33815.5,,,,,,,,,,,,,,,,,
20190114,Data001,9:22:57,19.3,9:23,9:42:15,19.25,bd_9.2_as_003,6322.5,314.5,0.0,105.0,66.5,161.0,425.5,47.0,13514.5,,,,,,,,,,,,,,,,,
20190114,Data001,9:22:57,20.7,9:23,9:43:39,20.65,bd_9.2_as_003,22324.5,1252.0,101.0,480.0,129.0,213.0,1615.5,276.5,27835.5,,,,,,,,,,,,,,,,,
20190114,Data002,9:58:16,1.8,9:23,10:00:04,37.07,bd_9.2_as_003,11574.5,925.0,51.0,297.0,138.0,192.5,1082.5,146.0,21073.0,,,,,,,,,,,,,,,,,
20190114,Data002,9:58:16,2.3,9:23,10:00:34,37.57,bd_9.2_as_003,19201.0,1112.5,74.5,553.5,210.5,399.5,2257.5,303.5,46511.5,,,,,,,,,,,,,,,,,
20190114,Data003,10:25:50,2.1,9:23,10:27:56,64.93,bd_9.2_as_003,5337.5,343.0,0.0,87.5,43.0,90.0,271.5,37.5,7527.0,,,,,,,,,,,,,,,,,
20190114,Data003,10:25:50,2.8,9:23,10:28:38,65.63,bd_9.2_as_003,4220.5,295.0,0.0,132.5,46.5,138.5,474.0,84.5,14686.5,,,,,,,,,,,,,,,,,
20190114,Data003,10:25:50,4.2,9:23,10:30:02,67.03,bd_9.2_as_003,5989.0,411.0,0.0,234.5,63.0,149.5,750.5,85.0,14506.0,,,,,,,,,,,,,,,,,
20190114,Data003,10:25:50,4.7,9:23,10:30:32,67.53,bd_9.2_as_003,2615.0,261.5,40.5,94.6,26.5,62.0,334.0,52.0,7907.0,,,,,,,,,,,,,,,,,
20190114,Data004,11:11:55,3.4,9:23,11:15:19,112.32,bd_9.2_as_003,3361.0,255.5,0.0,86.5,0.0,67.5,264.5,38.5,9141.0,,,,,,,,,,,,,,,,,
20190110,Data010,17:38:56,2.7,17:38,17:41:38,3.63,bd_9.2_as_001,1454.5,568.5,0.0,48.5,30.0,0.1,98.5,28.5,3346.5,,,,,,,,,,,,,,,,,
20190110,Data010,17:38:56,3.6,17:38,17:42:32,4.53,bd_9.2_as_001,4432.5,697.5,0.0,105.0,47.0,103.5,430.0,68.0,9660.0,,,,,,,,,,,,,,,,,
20190110,Data010,17:38:56,3.9,17:38,17:42:50,4.83,bd_9.2_as_001,1448.5,314.5,0.0,57.5,51.1,54.5,109.0,0.0,3979.0,,,,,,,,,,,,,,,,,
20190110,Data010,17:38:56,5.5,17:38,17:44:26,6.43,bd_9.2_as_001,6899.0,686.0,0.0,145.5,48.5,172.0,541.5,82.5,13321.5,,,,,,,,,,,,,,,,,
20190110,Data010,17:38:56,6.1,17:38,17:45:02,7.03,bd_9.2_as_001,8092.5,1003.5,0.0,92.5,47.0,102.5,504.5,80.5,11417.5,,,,,,,,,,,,,,,,,
20190110,Data010,17:38:56,7.0,17:38,17:45:56,7.93,bd_9.2_as_001,6949.0,680.0,0.0,122.0,54.0,97.5,513.0,83.4,12430.5,,,,,,,,,,,,,,,,,
20190110,Data010,17:38:56,9.7,17:38,17:48:38,10.63,bd_9.2_as_001,8685.0,703.5,0.0,193.0,48.0,113.5,543.5,64.0,10335.5,,,,,,,,,,,,,,,,,
